date,price_bitcoin,price_gold,price_sp500,change_bitcoin,change_gold,vix,interest_rate,cpi,inflation
2023-07-07,30346,1932,4399,1.45,0.89,14.83,5.21,301.92,6.45
2023-07-10,30415,1931,4410,0.82,-0.08,15.07,5.22,302.0,6.45
2023-07-11,30623,1937,4439,0.68,0.32,14.84,5.24,302.03,6.45
2023-07-12,30387,1962,4472,-0.77,1.27,13.54,5.23,302.06,6.45
2023-07-13,31466,1964,4510,3.55,0.11,13.61,5.22,302.08,6.45
2023-07-14,30317,1964,4505,-3.65,0.03,13.34,5.22,302.11,6.45
2023-07-17,30140,1956,4523,-0.32,-0.41,13.48,5.23,302.19,6.45
2023-07-18,29867,1981,4555,-0.91,1.25,13.3,5.25,302.22,6.45
2023-07-19,29910,1981,4566,0.14,0.0,13.76,5.24,302.25,6.45
2023-07-20,29801,1971,4535,-0.36,-0.5,13.99,5.24,302.28,6.45
2023-07-21,29903,1967,4536,0.34,-0.22,13.6,5.25,302.3,6.45
2023-07-24,29178,1962,4555,-3.02,-0.22,13.91,5.25,302.38,6.45
2023-07-25,29229,1964,4567,0.17,0.08,13.86,5.26,302.41,6.45
2023-07-26,29352,1970,4567,0.42,0.33,13.19,5.27,302.44,6.45
2023-07-27,29223,1946,4537,-0.44,-1.24,14.41,5.27,302.47,6.45
2023-07-28,29315,2000,4582,0.32,2.79,13.33,5.26,302.49,6.45
2023-07-31,29232,2009,4589,-0.17,0.47,13.63,5.25,302.58,6.45
2023-08-01,29712,1979,4577,1.64,-1.51,13.93,5.26,302.6,6.45
2023-08-02,29174,1975,4513,-1.81,-0.19,16.09,5.26,302.63,6.45
2023-08-03,29189,1969,4502,0.05,-0.31,15.92,5.26,302.66,6.45
2023-08-04,29106,1976,4478,-0.29,0.37,17.1,5.25,302.68,6.45
2023-08-07,29204,1970,4518,0.42,-0.31,15.77,5.26,302.77,6.45
2023-08-08,29777,1960,4499,1.96,-0.51,15.99,5.28,302.79,6.45
2023-08-09,29578,1951,4468,-0.67,-0.47,15.96,5.28,302.82,6.45
2023-08-10,29449,1949,4469,-0.44,-0.09,15.85,5.27,302.85,6.45
2023-08-11,29421,1947,4464,-0.1,-0.12,14.84,5.26,302.88,6.45
2023-08-14,29427,1944,4490,0.43,-0.13,14.82,5.27,302.96,6.45
2023-08-15,29195,1935,4438,-0.79,-0.45,16.46,5.28,302.98,6.45
2023-08-16,28726,1928,4404,-1.61,-0.36,16.78,5.28,303.01,6.45
2023-08-17,26636,1915,4370,-7.28,-0.68,17.89,5.28,303.04,6.45
2023-08-18,26053,1916,4370,-2.19,0.07,17.3,5.28,303.07,6.45
2023-08-21,26126,1923,4400,-0.25,0.34,17.13,5.28,303.15,6.45
2023-08-22,26040,1926,4388,-0.33,0.16,16.97,5.3,303.18,6.45
2023-08-23,26436,1948,4436,1.52,1.15,15.98,5.3,303.2,6.45
2023-08-24,26177,1947,4376,-0.98,-0.05,17.2,5.3,303.23,6.45
2023-08-25,26057,1940,4406,-0.46,-0.37,15.68,5.32,303.26,6.45
2023-08-28,26119,1947,4433,0.07,0.36,15.08,5.32,303.34,6.45
2023-08-29,27724,1965,4498,6.14,0.94,14.45,5.32,303.37,6.45
2023-08-30,27299,1973,4515,-1.53,0.4,13.88,5.32,303.39,6.45
2023-08-31,25937,1966,4508,-4.99,-0.36,13.57,5.3,303.42,6.45
2023-09-01,25803,1967,4516,-0.52,0.06,13.09,5.27,303.45,6.45
2023-09-04,25823,1953,4516,-0.57,-0.74,,,303.53,6.45
2023-09-06,25758,1944,4465,-0.13,-0.43,14.45,5.3,303.58,6.45
2023-09-07,26250,1942,4451,1.91,-0.09,14.4,5.28,303.61,6.45
2023-09-08,25910,1943,4457,-1.3,0.01,13.84,5.29,303.64,6.45
2023-09-11,25166,1947,4487,-2.61,0.23,13.8,5.29,303.72,6.45
2023-09-12,25834,1935,4462,2.65,-0.62,14.23,5.3,303.75,6.45
2023-09-13,26223,1932,4467,1.5,-0.13,13.48,5.3,303.77,6.45
2023-09-14,26525,1933,4505,1.15,0.02,12.82,5.3,303.8,6.45
2023-09-15,26601,1946,4450,0.29,0.69,13.79,5.3,303.83,6.45
2023-09-18,26764,1953,4454,0.88,0.37,14.0,5.3,303.91,6.45
2023-09-19,27209,1954,4444,1.67,0.02,14.11,5.31,303.94,6.45
2023-09-20,27125,1967,4402,-0.31,0.69,15.14,5.32,303.97,6.45
2023-09-21,26570,1940,4330,-2.05,-1.4,17.54,5.3,303.99,6.45
2023-09-22,26582,1946,4320,0.04,0.31,17.2,5.3,304.02,6.45
2023-09-25,26303,1937,4337,0.2,-0.46,16.9,5.31,304.1,6.45
2023-09-26,26219,1920,4274,-0.32,-0.87,18.94,5.32,304.13,6.45
2023-09-27,26366,1891,4275,0.56,-1.51,18.22,5.33,304.16,6.45
2023-09-28,27023,1879,4300,2.49,-0.65,17.34,5.31,304.18,6.45
2023-09-29,26910,1866,4288,-0.42,-0.67,17.52,5.3,304.21,6.45
2023-10-02,27505,1847,4288,-1.68,-1.01,17.61,5.32,304.29,6.45
2023-10-03,27428,1842,4229,-0.28,-0.31,19.78,5.34,304.32,6.45
2023-10-04,27791,1835,4264,1.32,-0.36,18.58,5.34,304.35,6.45
2023-10-05,27410,1832,4258,-1.37,-0.16,18.49,5.32,304.37,6.45
2023-10-06,27937,1845,4308,1.92,0.73,17.45,5.35,304.4,6.45
2023-10-09,27581,1864,4336,-1.22,1.04,17.7,5.35,304.48,6.45
2023-10-10,27391,1875,4358,-0.69,0.59,17.03,5.32,304.51,6.45
2023-10-11,26877,1887,4377,-1.88,0.64,16.09,5.34,304.54,6.45
2023-10-12,26761,1883,4350,-0.43,-0.23,16.69,5.34,304.57,6.45
2023-10-13,26864,1942,4328,0.38,3.11,19.32,5.33,304.59,6.45
2023-10-16,28510,1934,4374,4.96,-0.37,17.21,5.33,304.67,6.45
2023-10-17,28404,1936,4373,-0.37,0.07,17.88,5.34,304.7,6.45
2023-10-18,28322,1968,4315,-0.29,1.68,19.22,5.33,304.73,6.45
2023-10-19,28723,1980,4278,1.42,0.62,21.4,5.31,304.76,6.45
2023-10-20,29674,1994,4224,3.31,0.7,21.71,5.3,304.78,6.45
2023-10-23,33042,1988,4217,10.2,-0.33,20.37,5.29,304.87,6.45
2023-10-24,33917,1986,4248,2.65,-0.09,18.97,5.31,304.89,6.45
2023-10-25,34497,1995,4187,1.71,0.44,20.19,5.32,304.92,6.45
2023-10-26,34154,1997,4137,-0.99,0.13,20.68,5.3,304.95,6.45
2023-10-27,33902,1998,4117,-0.74,0.06,21.27,5.3,304.97,6.45
2023-10-30,34478,2006,4167,-0.14,0.36,19.75,5.31,305.06,6.45
2023-10-31,34651,1994,4194,0.5,-0.56,18.14,5.32,305.08,6.45
2023-11-01,35424,1988,4238,2.23,-0.34,16.87,5.3,305.11,6.45
2023-11-02,34931,1994,4318,-1.39,0.3,15.66,5.27,305.14,6.45
2023-11-03,34719,1999,4358,-0.61,0.29,14.91,5.25,305.17,6.45
2023-11-06,35042,1989,4366,0.06,-0.53,14.89,5.26,305.25,6.45
2023-11-07,35426,1974,4378,1.1,-0.76,14.81,5.27,305.27,6.45
2023-11-08,35637,1958,4383,0.6,-0.8,14.45,5.27,305.3,6.45
2023-11-09,36700,1970,4347,2.98,0.61,15.29,5.26,305.33,6.45
2023-11-10,37303,1938,4415,1.64,-1.63,14.17,5.25,305.36,6.45
2023-11-13,36478,1950,4412,-1.58,0.65,14.76,5.26,305.44,6.45
2023-11-14,35549,1966,4496,-2.55,0.84,14.16,5.25,305.46,6.45
2023-11-15,37875,1964,4503,6.54,-0.11,14.18,5.26,305.49,6.45
2023-11-16,36161,1987,4508,-4.52,1.17,14.32,5.24,305.52,6.45
2023-11-17,36595,1985,4514,1.2,-0.13,13.8,5.23,305.55,6.45
2023-11-20,37454,1980,4547,0.27,-0.22,13.41,5.24,305.63,6.45
2023-11-21,35814,2002,4538,-4.38,1.08,13.35,5.26,305.66,6.45
2023-11-22,37411,1993,4557,4.46,-0.44,12.85,5.26,305.68,6.45
2023-11-23,37293,2003,4557,-0.31,0.51,,,305.71,6.45
2023-11-27,37249,2012,4550,-0.54,0.47,12.69,5.26,305.82,6.45
2023-11-28,37823,2040,4555,1.54,1.37,12.69,5.26,305.85,6.45
2023-11-29,37856,2067,4551,0.09,1.33,12.98,5.24,305.87,6.45
2023-11-30,37713,2057,4568,-0.38,-0.48,12.92,5.24,305.9,6.45
2023-12-01,38688,2090,4595,2.59,1.58,12.63,5.22,305.93,6.45
2023-12-04,41988,2042,4570,5.05,-2.27,13.08,5.22,306.01,6.45
2023-12-05,44076,2036,4567,4.97,-0.29,12.85,5.24,306.04,6.45
2023-12-06,43776,2048,4549,-0.68,0.57,12.97,5.24,306.06,6.45
2023-12-07,43290,2046,4586,-1.11,-0.07,13.06,5.23,306.09,6.45
2023-12-08,44176,2014,4604,2.05,-1.56,12.35,5.23,306.12,6.45
2023-12-11,41256,1994,4622,-5.79,-1.03,12.63,5.23,306.2,6.45
2023-12-12,41487,1993,4644,0.56,-0.03,12.07,5.25,306.23,6.45
2023-12-13,42884,1997,4707,3.37,0.21,12.19,5.22,306.26,6.45
2023-12-14,43026,2045,4720,0.33,2.38,12.48,5.22,306.28,6.45
2023-12-15,41929,2036,4719,-2.55,-0.45,12.28,5.22,306.31,6.45
2023-12-18,42660,2040,4741,3.12,0.24,12.56,5.22,306.39,6.45
2023-12-19,42259,2052,4768,-0.94,0.57,12.53,5.24,306.42,6.45
2023-12-20,43663,2048,4698,3.32,-0.21,13.67,5.23,306.45,6.45
2023-12-21,43866,2051,4747,0.47,0.18,13.65,5.21,306.47,6.45
2023-12-22,43969,2069,4755,0.23,0.87,13.03,5.21,306.5,6.45
2023-12-26,42513,2070,4775,-2.44,0.03,12.99,5.2,306.61,6.45
2023-12-27,43446,2093,4782,2.2,1.13,12.43,5.24,306.64,6.45
2023-12-28,42581,2084,4783,-1.99,-0.46,12.47,5.22,306.66,6.45
2023-12-29,42072,2072,4770,-1.19,-0.56,12.45,5.18,306.69,6.45
2024-01-02,44944,2073,4743,1.72,0.08,13.2,5.21,306.79,3.35
2024-01-03,42836,2043,4705,-4.69,-1.48,14.04,5.24,306.81,3.35
2024-01-04,44157,2050,4689,3.08,0.35,14.13,5.23,306.83,3.35
2024-01-05,44157,2050,4697,-0.0,-0.01,13.35,5.22,306.86,3.35
2024-01-08,46962,2034,4764,6.91,-0.8,13.08,5.22,306.92,3.35
2024-01-09,46129,2033,4756,-1.77,-0.02,12.76,5.23,306.94,3.35
2024-01-10,46629,2028,4783,1.08,-0.26,12.69,5.22,306.97,3.35
2024-01-11,46348,2019,4780,-0.6,-0.42,12.44,5.22,306.99,3.35
2024-01-12,42836,2052,4784,-7.58,1.6,12.7,5.2,307.01,3.35
2024-01-15,42511,2030,4784,1.83,-1.04,,,307.08,3.35
2024-01-17,42769,2006,4739,-0.87,-1.17,14.79,5.22,307.12,3.35
2024-01-18,41293,2022,4781,-3.45,0.75,14.13,5.2,307.14,3.35
2024-01-19,41648,2029,4840,0.86,0.38,13.3,5.2,307.16,3.35
2024-01-22,39556,2022,4850,-4.87,-0.35,13.19,5.2,307.23,3.35
2024-01-23,39889,2026,4865,0.84,0.18,12.55,5.21,307.25,3.35
2024-01-24,40086,2016,4869,0.49,-0.48,13.14,5.21,307.27,3.35
2024-01-25,39936,2018,4894,-0.37,0.09,13.45,5.2,307.3,3.35
2024-01-26,41811,2017,4891,4.7,-0.02,13.26,5.2,307.32,3.35
2024-01-29,43300,2025,4928,3.02,0.4,13.6,5.2,307.38,3.35
2024-01-30,42946,2051,4925,-0.82,1.26,13.31,5.2,307.41,3.35
2024-01-31,42580,2067,4846,-0.85,0.8,14.35,5.19,307.43,3.35
2024-02-01,43081,2071,4906,1.18,0.18,13.88,5.2,307.45,3.35
2024-02-02,43195,2054,4959,0.26,-0.84,13.85,5.21,307.47,3.35
2024-02-05,42697,2043,4943,0.27,-0.53,13.67,5.23,307.54,3.35
2024-02-06,43088,2051,4954,0.91,0.42,13.06,5.22,307.56,3.35
2024-02-07,44340,2052,4995,2.91,0.01,12.83,5.22,307.58,3.35
2024-02-08,45293,2048,4998,2.15,-0.19,12.79,5.22,307.6,3.35
2024-02-09,47545,2039,5027,4.97,-0.45,12.93,5.22,307.63,3.35
